category,domain,title,url
psd2,floryn.com,Floryn ontvangt een PSD2-vergunning van DNB,https://www.floryn.com/blog/floryn-ontvangt-psd2-vergunning-van-dnb
psd2,floryn.com,"PSD2 koppeling vernieuwen, nu ook via mobiel!",https://www.floryn.com/blog/psd2-koppeling-vernieuwen-mobiel
psd2,floryn.com,Wat zijn de voordelen van PSD2 voor mij?,https://www.floryn.com/kennisbank/wat-zijn-de-voordelen-van-psd2-voor-mij
psd2,swishfund.nl,De voordelen van PSD2 | Swishfund,https://www.swishfund.nl/blog/de-voordelen-van-psd2
psd2,swishfund.nl,The benefits of PSD2 | Swishfund,https://www.swishfund.nl/blog/de-voordelen-van-psd2
solvency,new10.com,Wat is solvabiliteit? | New10,https://new10.com/blog/solvabiliteit
solvency,capitalbox.nl,Verbeter jouw financiële positie - bereken solvabiliteit,http://www.capitalbox.nl/blog/bereken-solvabiliteit
solvency,swishfund.nl,Solvabiliteit: wat is het en hoe kun je het berekenen? | Swishfund,https://www.swishfund.nl/blog/solvabiliteit-wat-is-het-en-hoe-kun-je-het-berekenen
factoring,new10.com,Wat is factoring?,https://new10.com/factoring
factoring,new10.com,Wat is factuur financiering?,https://new10.com/factuur-financiering
factoring,capitalbox.nl,Factuuraankoop,http://www.capitalbox.nl/factuuraankoop
factoring,capitalbox.nl,Wat is factoring precies en wat kost het?,http://www.capitalbox.nl/blog/factoring
factoring,floryn.com,Factuur verkopen: zo werkt factoring,https://www.floryn.com/blog/factuur-verkopen
factoring,floryn.com,MKB Factoring: de slimme oplossing voor ondernemers,https://www.floryn.com/blog/mkb-factoring
factoring,floryn.com,Facturen factoring door Floryn,https://www.floryn.com/blog/factuur-factoring
factoring,swishfund.nl,Wat is het verschil tussen direct lending en factoring? | Swishfund,https://www.swishfund.nl/blog/wat-is-het-verschil-tussen-direct-lending-en-factoring
factoring,qeld.nl,Geen factuurkosten of opstartkosten | Qeld,https://www.qeld.nl/info/rekenen-jullie-factuurkosten
testimonials,new10.com,TeamWerklust bedient meer klanten met financiering,https://new10.com/klantervaringen/gerard-van-groeningen
testimonials,new10.com,Houd je bedrijf gezond: controleer de kredietwaardigheid van klanten,https://new10.com/blog/check-kredietwaardigheid-klanten
testimonials,new10.com,Zo doe je dat: klantenservice via je smartphone | New10,https://new10.com/blog/klantenservice-smartphone
testimonials,capitalbox.nl,Waarom klantenservice zo belangrijk is,http://www.capitalbox.nl/blog/waarom-klantenservice-zo-belangrijk
testimonials,capitalbox.nl,3 strategieën om klanten terug te laten komen,http://www.capitalbox.nl/blog/3-strategieen-om-klanten-terug-te-laten-komen
testimonials,capitalbox.nl,CapitalBox’s Principes voor de Verwerking van Persoonsgegevens van Klanten (Privacybeleid),http://www.capitalbox.nl/node/8
testimonials,floryn.com,Floryn neemt Nederlandse klantenportefeuille van kredietverstrekker TP24 over,https://www.floryn.com/blog/floryn-neemt-nederlandse-klantenportefeuille-van-kredietverstrekker-tp24-over
testimonials,floryn.com,5 tips: zo zorg je dat jouw klanten sneller betalen,https://www.floryn.com/blog/zo-zorg-je-dat-jouw-klanten-sneller-betalen
testimonials,floryn.com,Floryn ervaringen en reviews van onafhankelijke ondernemers van nu,https://www.floryn.com/klanten
testimonials,swishfund.nl,Bodega Chez Armand | Klanten | Swishfund,https://www.swishfund.nl/client/bodega-chez-armand
testimonials,swishfund.nl,Chocolaterie de Berekuil | Klanten | Swishfund,https://www.swishfund.nl/client/chocolaterie-de-berekuil
testimonials,swishfund.nl,Rent-A-Tent | Klanten | Swishfund,https://www.swishfund.nl/client/rent-a-tent
sector_pages,new10.com,Slim ondernemen in retail: zo blijf jij de concurrentie voor,https://new10.com/blog/ondernemen-in-retail
sector_pages,new10.com,Horeca lening aanvragen,https://new10.com/blog/horecalening
sector_pages,new10.com,Nieuwe klanten bereiken: 6 oplossingen voor (horeca) ondernemers,https://new10.com/blog/nieuwe-klanten-bereiken-oplossingen-ondernemers
sector_pages,capitalbox.nl,Voor MKB bedrijven uit allerlei sectoren verstrekken wij passende zakelijke financiering. Lees hier meer over een aantal van de sectoren die wij bedienen.,http://www.capitalbox.nl/sectoren-die-wij-bedienen
sector_pages,capitalbox.nl,Zakelijke lening voor transport en logistiek,http://www.capitalbox.nl/sectoren-die-wij-bedienen/zakelijke-lening-voor-transport-en-logistiek
sector_pages,capitalbox.nl,Zakelijke financiering voor ondernemers in de productiesector,http://www.capitalbox.nl/sectoren-die-wij-bedienen/productiebedrijven
sector_pages,floryn.com,Zakelijke financiering voor consultants en adviseurs,https://www.floryn.com/zakelijke-financiering/consultants
sector_pages,floryn.com,Zorgeloos aflossen bij Floryn,https://www.floryn.com/terugbetalen
sector_pages,floryn.com,Zo bezorgt DIQQ menig IT-professional de baan van zijn leven - Floryn,https://www.floryn.com/klant/diqq
sector_pages,swishfund.nl,"Zorgeloos de zomer in als ondernemer, met ruimte in je hoofd én je kas | Swishfund",https://www.swishfund.nl/blog/zorgeloos-de-zomer-in-als-ondernemer---met-een-buffer-die-werkt
sector_pages,swishfund.nl,Liquiditeitsproblemen voor automotive en horeca | Swishfund,https://www.swishfund.nl/blog/liquiditeitsproblemen-voor-automotive-en-horeca
sector_pages,swishfund.nl,Liquidity issues for Automotive and hospitality | Swishfund,https://www.swishfund.nl/blog/liquiditeitsproblemen-voor-automotive-en-horeca
sector_pages,qeld.nl,Wij gaan zorgvuldig om met jouw gegevens | Qeld,https://www.qeld.nl/info/worden-mijn-wachtwoorden-bewaard
sector_pages,qeld.nl,Zakelijke lening voor transport- en logistiekbedrijven tot €500.000 - Qeld,https://www.qeld.nl/zakelijke-lening/lening-voor-transportbedrijf
sector_pages,qeld.nl,"Business loan for transport and logistics companies up to €500,000 - Qeld",https://www.qeld.nl/en/business-loan/loan-to-transportation
faq_support,new10.com,Wat is de AVG?,https://new10.com/privacy-faq
faq_support,floryn.com,"People of Floryn: Daimy, gezelligheidsdier, backpacker in spé én Customer Support Officer",https://www.floryn.com/blog/people-of-floryn-daimy
faq_support,floryn.com,Veelgestelde vragen over bedrijfsfinanciering van Floryn,https://www.floryn.com/veelgestelde-vragen
faq_support,floryn.com,Veelgestelde vragen over onze samenwerking - Floryn,https://www.floryn.com/veelgesteldevragen-partners
faq_support,swishfund.nl,Veelgestelde vragen | Swishfund,https://www.swishfund.nl/veelgestelde-vragen
faq_support,swishfund.nl,Veelgestelde vragen over het MT940 bestand | Swishfund,https://www.swishfund.nl/blog/veelgestelde-vragen-over-het-mt940-bestand
faq_support,swishfund.nl,Veelgestelde vragen | Swishfund,https://www.swishfund.nl/veelgestelde-vragen
faq_support,qeld.nl,Hoe maak ik gebruik van dit aanbod? - FAQ | Qeld,https://www.qeld.nl/info/hoe-maak-ik-gebruik-van-dit-aanbod
faq_support,qeld.nl,Qeld maakt zakelijk lenen simpel en eenvoudig!,https://www.qeld.nl/support
privacy,new10.com,Privacyverklaring,https://new10.com/privacy
privacy,new10.com,Wat is de AVG?,https://new10.com/privacy-faq
privacy,new10.com,Privacyverklaring,https://new10.com/privacy
privacy,capitalbox.nl,CapitalBox’s Principes voor de Verwerking van Persoonsgegevens van Klanten (Privacybeleid),http://www.capitalbox.nl/node/8
privacy,floryn.com,Privacy statement Floryn,https://www.floryn.com/privacystatement
privacy,swishfund.nl,Privacyverklaring | Swishfund,https://www.swishfund.nl/privacyverklaring
privacy,swishfund.nl,Privacyverklaring | Swishfund,https://www.swishfund.nl/privacyverklaring
privacy,qeld.nl,Ons privacybeleid | Qeld,https://www.qeld.nl/info/qeld-privacybeleid
privacy,qeld.nl,Privacy Policy | Qeld,https://www.qeld.nl/info/privacy-policy-nl
